city_key,country_key,city,country,latitude,longitude,status,source,geoname_id,match_name,notes
haripur,pakistan,Haripur,Pakistan,33.99783,72.93493,resolved,GeoNames cities500,1177107,Haripur,canonical/ascii match
haroonabad,pakistan,Haroonabad,Pakistan,29.61206,73.13802,resolved,GeoNames cities500,1177073,Harunabad,canonical/ascii match
heilbronn,germany,Heilbronn,Germany,49.13995,9.22054,resolved,GeoNames cities500,2907669,Heilbronn,canonical/ascii match
"hillsborough, new jersey",united states of america,"Hillsborough, New Jersey",United States of America,40.4776,-74.62682,resolved,GeoNames cities500,5099079,Hillsborough,canonical/ascii match constrained to admin1=NJ
houston,united states of america,Houston,United States of America,29.76328,-95.36327,resolved,GeoNames cities500,4699066,Houston,canonical/ascii match
houthulst,belgium,Houthulst,Belgium,50.97824,2.9505,resolved,GeoNames cities500,2795255,Houthulst,canonical/ascii match
hyderabad,india,HYDERABAD,India,17.38405,78.45636,resolved,GeoNames cities500,1269843,Hyderabad,canonical/ascii match
hyderabad,pakistan,Hyderabad,Pakistan,25.39689,68.37718,resolved,GeoNames cities500,1176734,Hyderabad,canonical/ascii match
ibadan,nigeria,Ibadan,Nigeria,7.37756,3.90591,resolved,GeoNames cities500,2339354,Ibadan,canonical/ascii match
ikorodu,nigeria,Ikorodu,Nigeria,6.61526,3.5069,resolved,GeoNames cities500,2338229,Ikorodu,canonical/ascii match
islamabad,pakistan,Islamabad,Pakistan,33.72148,73.04329,resolved,GeoNames cities500,1176615,Islamabad,canonical/ascii match
isolo,nigeria,Isolo,Nigeria,,,unresolved,GeoNames cities500,,,No exact city/country match; review required
ithaca,united states,Ithaca,United States,42.44063,-76.49661,resolved,GeoNames cities500,5122432,Ithaca,canonical/ascii match
ithaca,united states of america,Ithaca,United States of America,42.44063,-76.49661,resolved,GeoNames cities500,5122432,Ithaca,canonical/ascii match
jaipur rajasthan,india,Jaipur rajasthan,India,26.91962,75.78781,resolved,GeoNames cities500,1269515,Jaipur,canonical/ascii match
jakarta,indonesia,Jakarta,Indonesia,-6.21462,106.84513,resolved,GeoNames cities500,1642911,Jakarta,canonical/ascii match
jeddah,saudi arabia,Jeddah,Saudi Arabia,21.49012,39.18624,resolved,GeoNames cities500,105343,Jeddah,canonical/ascii match
jersey city,united states,Jersey City,United States,40.72816,-74.07764,resolved,GeoNames cities500,5099836,Jersey City,canonical/ascii match
johannesburg,south africa,johannesburg,South Africa,-26.20227,28.04363,resolved,GeoNames cities500,993800,Johannesburg,canonical/ascii match
johnston,united states,Johnston,United States,41.82186,-71.50675,resolved,GeoNames cities500,8604682,Johnston,canonical/ascii match
kabul,afghanistan,Kabul,Afghanistan,34.52813,69.17233,resolved,GeoNames cities500,1138958,Kabul,canonical/ascii match
kandy,sri lanka,Kandy,Sri Lanka,7.2906,80.6336,resolved,GeoNames cities500,1241622,Kandy,canonical/ascii match
kanifing,gambia,Kanifing,Gambia,13.44639,-16.67444,resolved,GeoNames cities500,2413106,Kanifing,canonical/ascii match
kano,nigeria,Kano,Nigeria,12.00012,8.51672,resolved,GeoNames cities500,2335204,Kano,canonical/ascii match
karachi,pakistan,Karachi,Pakistan,24.8608,67.0104,resolved,GeoNames cities500,1174872,Karachi,canonical/ascii match
"karachi, pakistan.",pakistan,"Karachi, Pakistan.",Pakistan,24.8608,67.0104,resolved,GeoNames cities500,1174872,Karachi,canonical/ascii match
karlsruhe,germany,Karlsruhe,Germany,49.00937,8.40444,resolved,GeoNames cities500,2892794,Karlsruhe,canonical/ascii match
kathmandu,nepal,Kathmandu,Nepal,27.70169,85.3206,resolved,GeoNames cities500,1283240,Kathmandu,canonical/ascii match
kelowna,canada,KELOWNA,Canada,49.88307,-119.48568,resolved,GeoNames cities500,5990579,Kelowna,canonical/ascii match
kenitra,morocco,Kenitra,Morocco,34.26101,-6.5802,resolved,GeoNames cities500,2544571,Kenitra,canonical/ascii match
khartoum,sudan,khartoum,sudan,15.55177,32.53241,resolved,GeoNames cities500,379252,Khartoum,canonical/ascii match
khouribga,morocco,Khouribga,Morocco,32.88108,-6.9063,resolved,GeoNames cities500,2544248,Khouribga,canonical/ascii match
kigali,rwanda,Kigali,Rwanda,-1.94995,30.05885,resolved,GeoNames cities500,202061,Kigali,canonical/ascii match
kolhāpur,india,Kolhāpur,India,16.69563,74.23167,resolved,GeoNames cities500,1266285,Kolhāpur,canonical/ascii match
kolkata,india,kolkata,india,22.56263,88.36304,resolved,GeoNames cities500,1275004,Kolkata,canonical/ascii match
kongens lyngby,denmark,Kongens Lyngby,Denmark,55.77044,12.50378,resolved,GeoNames cities500,2618468,Kongens Lyngby,canonical/ascii match
krefeld,germany,Krefeld,Germany,51.33645,6.55381,resolved,GeoNames cities500,2884509,Krefeld,canonical/ascii match
kyiv,ukraine,Kyiv,Ukraine,50.45466,30.5238,resolved,GeoNames cities500,703448,Kyiv,canonical/ascii match
köln,germany,Köln,Germany,50.93333,6.95,resolved,GeoNames cities500,2886242,Köln,canonical/ascii match
lagos,nigeria,Lagos,Nigeria,6.45407,3.39467,resolved,GeoNames cities500,2332459,Lagos,canonical/ascii match
lagos state,nigeria,Lagos State,Nigeria,6.45407,3.39467,resolved,GeoNames cities500,2332459,Lagos,canonical/ascii match
lahore,pakistan,Lahore,Pakistan,31.558,74.35071,resolved,GeoNames cities500,1172451,Lahore,canonical/ascii match
lancaster,uk,Lancaster,UK,54.04649,-2.79988,resolved,GeoNames cities500,2644972,Lancaster,canonical/ascii match
laurel,united states of america,Laurel,United States of America,39.09928,-76.84831,resolved,GeoNames cities500,4360369,Laurel,canonical/ascii match
leeds,united kingdom,Leeds,United Kingdom,53.79648,-1.54785,resolved,GeoNames cities500,2644688,Leeds,canonical/ascii match
